"","num.trades.1","num.trades.2","num.trades.3"
"1",4,1,6
"2",6,1,4
"3",5,5,6
"4",2,3,7
"5",5,5,8
"6",5,3,4
"7",5,4,8
"8",6,4,6
"9",4,3,4
"10",5,5,4
"11",8,5,5
"12",5,4,2
"13",6,4,5
"14",5,6,6
"15",6,5,7
"16",6,3,3
"17",6,3,6
"18",4,2,7
"19",4,6,6
"20",6,7,6
"21",5,5,5
"22",7,6,8
"23",3,2,9
"24",1,2,2
"25",6,4,4
"26",5,5,4
"27",6,5,7
"28",4,5,6
"29",6,3,2
"30",5,4,8
"31",8,5,4
"32",4,3,3
"33",6,5,7
"34",4,3,6
"35",5,2,6
"36",3,3,7
"37",6,3,6
"38",5,2,6
"39",7,6,6
"40",5,5,8
"41",4,3,7
"42",4,6,4
"43",2,4,5
"44",3,3,6
"45",4,5,4
"46",6,5,7
"47",7,6,9
"48",7,3,5
"49",4,2,7
"50",6,4,6
