Activision,ATVI
Adobe,ADBE
Akamai,AKAM
Alexion,ALXN
Altera,ALTR
Amazon.com,AMZN
Amgen,AMGN
Apollo,APOL
Apple,AAPL
Applied,AMAT
"Autodesk,",ADSK
Automatic,ADP
Baidu,BIDU
Bed,BBBY
Biogen,BIIB
BMC,BMC
Broadcom,BRCM
C.H.,CHRW
CA,CA
Celgene,CELG
Cerner,CERN
Check,CHKP
Cisco,CSCO
Citrix,CTXS
Cognizant,CTSH
Comcast,CMCSA
Costco,COST
Ctrip.com,CTRP
Dell,DELL
DENTSPLY,XRAY
DIRECTV,DTV
Dollar,DLTR
eBay,EBAY
Electronic,EA
"Expedia,",EXPE
Expeditors,EXPD
Express,ESRX
F5,FFIV
Fastenal,FAST
First,FSLR
"Fiserv,",FISV
Flextronics,FLEX
FLIR,FLIR
Garmin,GRMN
Gilead,GILD
Google,GOOG
Green,GMCR
Henry,HSIC
"Illumina,",ILMN
Infosys,INFY
Intel,INTC
Intuit,INTU
Intuitive,ISRG
Joy,JOY
KLA-Tencor,KLAC
Lam,LRCX
Liberty,LINTA
Life,LIFE
Linear,LLTC
Marvell,MRVL
"Mattel,",MAT
Maxim,MXIM
Microchip,MCHP
Micron,MU
Microsoft,MSFT
Mylan,MYL
"NetApp,",NTAP
"Netflix,",NFLX
News,NWSA
NII,NIHD
NVIDIA,NVDA
O'Reilly,ORLY
Oracle,ORCL
PACCAR,PCAR
"Paychex,",PAYX
priceline.com,PCLN
Qiagen,QGEN
QUALCOMM,QCOM
Research,BBRY
Ross,ROST
SanDisk,SNDK
Seagate,STX
Sears,SHLD
Sigma-Aldrich,SIAL
Sirius,SIRI
"Staples,",SPLS
Starbucks,SBUX
"Stericycle,",SRCL
Symantec,SYMC
Teva,TEVA
Urban,URBN
"VeriSign,",VRSN
Vertex,VRTX
Virgin,VMED
Vodafone,VOD
Warner,WCRX
Whole,WFM
Wynn,WYNN
"Xilinx,",XLNX
Yahoo!,YHOO

